"Gene","Accuracy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DNAJC25",0.876923076923077,520.043364412098,-1.39407279750879,0.124310360502143,-11.2144538224934,3.46317707530808e-29,3.35327892278497e-27
"UBE2T",0.876923076923077,91.4467663128093,2.75230557453349,0.202904426809681,13.5645417786526,6.49844953693683e-42,5.55196947496885e-39
"HMGCL",0.876923076923077,2328.02805195193,-1.52268685250909,0.126200241477039,-12.065641354467,1.60407821681403e-33,3.12719892899422e-31
"EHD3",0.876923076923077,189.65480010257,-1.62271025742294,0.194317260798364,-8.35082920969523,6.77853787146884e-17,1.20136039103372e-15
"PHACTR3",0.876923076923077,7.54158135882406,-2.38926228498092,0.334176976903342,-7.14969148120576,8.69731505017734e-13,9.13045202665527e-12
"AMHR2",0.876923076923077,7.63439113397002,-2.96018265788625,0.342415115570501,-8.64501163435576,5.37998158312456e-18,1.09465382568167e-16
"CYP39A1",0.876923076923077,702.482864967425,-2.66688592494384,0.260225394252556,-10.2483692362305,1.20356954832829e-24,5.78560642325053e-23
"ILF2",0.876923076923077,1437.09920648698,1.14840439345702,0.091164006144243,12.5971251377432,2.18981515301419e-36,7.22838074599502e-34
"IDNK",0.876923076923077,358.757796437703,-1.6722722400241,0.135507024422184,-12.3408527871883,5.45747559054573e-35,1.3549465893519e-32
"CCBE1",0.876923076923077,88.9471598062201,-2.15825572525866,0.418917278272963,-5.15198545678596,2.57743027970878e-07,1.24512214809547e-06
"CTD-2336O2.1",0.876923076923077,165.082816042037,-1.63560688703451,0.13503188233457,-12.1127459586318,9.04157007356797e-34,1.8626916843759e-31
"TSLP",0.876923076923077,100.445515693826,-2.18942190325207,0.271350283278803,-8.06861845433386,7.10980689299012e-16,1.11095035302623e-14
"MELK",0.876923076923077,107.978596188604,3.0421146000733,0.287082093474355,10.5966713676102,3.08775292325985e-26,1.86472031008008e-24
"FAM13A",0.876923076923077,616.416649281035,-1.94272584280467,0.167920925895635,-11.5692897263567,5.89688070671509e-31,7.34175790219454e-29
"OLFML3",0.876923076923077,241.764886259473,-1.76846376833631,0.243200022041148,-7.27164312525061,3.55140818296559e-13,3.9314521683988e-12
"NCAPG",0.876923076923077,124.382019008038,3.23484382210179,0.281348332901333,11.4976470226188,1.35560650088791e-30,1.60725133215478e-28
"SPDL1",0.876923076923077,132.996875273016,1.93009025020725,0.145128739056887,13.2991595100313,2.34084861815928e-40,1.47819501435414e-37
"C1RL",0.876923076923077,2862.21204758495,-1.69966515164764,0.136360789349536,-12.4644713466043,1.16642732837192e-35,3.22689343186166e-33
"SPATA18",0.876923076923077,73.3487059405356,-2.23615611730909,0.259027662761783,-8.63288535852476,5.98233871093429e-18,1.20677065885569e-16
"TICRR",0.876923076923077,36.1870027315077,2.91902827177923,0.267511182352263,10.911799073638,1.01232816753402e-27,7.86259588516799e-26
"ADK",0.876923076923077,1079.57654036891,-1.25768180451681,0.108272488490043,-11.6158945089036,3.42188228378311e-31,4.39817860970494e-29
"EBF2",0.876923076923077,13.2976588223426,2.49188796536182,0.373237105452973,6.67642077637908,2.44848326478988e-11,2.12753640070645e-10
"KIF14",0.876923076923077,88.5064988066426,3.13728288503922,0.236391762142307,13.2715406687928,3.38547924389182e-40,2.0487791890952e-37
"MYO10",0.876923076923077,242.989282620033,-1.66014744197714,0.172663317071198,-9.61494004712406,6.91496223293958e-22,2.33836813669882e-20
"ADRA1A",0.876923076923077,449.979797955037,-2.44670515888064,0.295041725360146,-8.29274285152058,1.10666416731008e-16,1.89990429858294e-15
"PITPNM3",0.876923076923077,47.2809790476224,-2.66678812506148,0.2526906080544,-10.5535704140114,4.89026885108721e-26,2.8813900524621e-24
"FBP1",0.876923076923077,8770.8863437861,-2.44352936889953,0.230489348503439,-10.6014849916723,2.93285758189797e-26,1.77857300707666e-24
"CENPU",0.876923076923077,105.36198034199,2.05664558681302,0.190418142818939,10.8006808404208,3.4166063176221e-27,2.40887330859919e-25
"IDO2",0.876923076923077,130.278992410191,-3.24372498347877,0.345355537942858,-9.39242209000125,5.86360749566178e-21,1.75593887148436e-19
"ACACA",0.876923076923077,721.730972384506,1.19620564188766,0.118281365044037,10.1132214820339,4.82704143251423e-24,2.09590283305939e-22
"PPAPDC1A",0.876923076923077,13.3176429517091,-3.47793591957861,0.375520924980249,-9.26163014687273,2.01334520872055e-20,5.61263451275572e-19
"GLOD5",0.876923076923077,26.6635659677667,-1.96629840194,0.228770521785432,-8.59506892144185,8.3214837310358e-18,1.64773319304109e-16
"LIFR",0.876923076923077,760.695339961651,-2.4517025262561,0.219305385007977,-11.1793995672606,5.14368098914271e-29,4.89880804500385e-27
"FOXM1",0.876923076923077,150.059620761538,2.95376166855587,0.234761287142617,12.5819793565941,2.6529813869512e-36,8.46854981628114e-34
"CDC45",0.876923076923077,67.2599441597614,2.8047891727538,0.257397193600268,10.8967356384995,1.19466717153232e-27,9.15638311310577e-26
"GPR128",0.876923076923077,122.527556810289,-2.53813018582844,0.216528415989325,-11.7219265389794,9.84082592184324e-32,1.38094836414349e-29
"TROAP",0.876923076923077,89.4884044314625,3.08882341512445,0.272007829882779,11.3556415506699,6.95276369767588e-30,7.42514264301798e-28
"CDC25C",0.876923076923077,48.9642158585833,2.99065647100132,0.298607272450043,10.0153504181706,1.30498625627744e-23,5.42306734940588e-22
